answer,clue
1AM,"When ""S.N.L."" wraps in N.Y.C."
2AM,"When clocks ""spring forward"" for daylight saving time"
2ND,Silver medalist's place
A&E,Big source of reality TV
A&M,Texas school
A&P,Store chain since 1859
AAA,Travelers' org.
AAAA,Tiny battery
AAAS,Some batteries
AABA,"Rhyme scheme of ""Stopping by Woods on a Snowy Evening"""
AABB,Rhyme scheme
AABBA,Limerick scheme
AAH,"""That feels so-o-o-o good!"""
AAHED,Oohed and ___
AAHS,Sauna exhalations
AALTO,Finlandia House architect
AAMCO,Company near the start of the telephone book listings
AAMES,"""Charles in Charge"" co-star"
AAND,___ E (TV channel)
AANDE,"""Biography"" channel"
AANDM,Texas ___ (school NW of Houston)
AANDP,Discontinued grocery chain that was once the U.S.'s largest retailer
AANDW,Soft drink name
AAR,Swiss stream
AARE,Rhine feeder
AARGH,"""Why is this happening to me?!"""
AARON,Super Bowl XLV M.V.P. Rodgers
AARP,Senior party?
AAS,Remote inserts
AAU,Sports org.
ABA,Sports org. of 1967-76
ABAA,Rhyme pattern at the end of a villanelle
ABAB,Basic rhyme scheme
ABABA,Addis ___
ABACA,Rope plant
ABACI,Basic counters
ABACK,Taken ___
ABAD,In ___ way
ABAFT,Toward the stern
ABALL,"What the Staten Island Yankees play, informally"
ABAN,Impose ___ on
ABANG,Go out with ___
ABAR,"""This guy walks into ___ ..."""
ABARE,"""With ___ bodkin?"": Hamlet"
ABARN,Can't hit the broad side of ___
ABAS,"""___ le roi!"" (French Revolution cry)"
ABASE,Bring down
ABASH,Embarrass
ABAT,Blind as ___
ABATE,Diminish in strength
ABATH,Take ___ (lose big)
ABBA,"""Dancing Queen"" group"
ABBAS,P.L.O. bigwig Mahmoud
ABBE,Actress Lane of old TV
ABBES,French clerics
ABBEY,Place of worship
ABBIE,"Radical Hoffman who wrote ""Steal This Book"""
ABBOT,Monks' head
ABBR,"Rep. or Dem., e.g."
ABBRS,"Etc. and ibid., e.g."
ABBY,"""Dear"" one"
ABC,1970 Jackson 5 #1 hit
ABCD,Quartet for first graders
ABCDE,Start of kindergarten learning
ABCS,Kindergarten instruction
ABCTV,"""Dancing With the Stars"" airer"
ABDUL,"""Spellbound"" singer, 1991"
ABE,Figure on a fin
ABEAD,Draw ___ on (aim at)
ABEAM,Perpendicular to the keel
ABEAR,Hungry as ___
ABEAT,Skip ___ (lose tempo)
ABED,Tucked in
ABEE,Have ___ in one's bonnet
ABEET,Red as ___
ABEL,Genesis victim
ABELE,Poplar tree
